ConcertHallId,ConcertHallName,Capacity,City,State,Country,CountryCode,PostalCode,Address,Latitude,Longitude,ImageUrl
KovZpZA7AAEA,Madison Square Garden,20789,New York,New York,United States Of America,US,10001,7th Ave & 32nd Street,40.7497062,-73.9916006,https://s1.ticketm.net/dbimages/23135v.jpg
KovZpa3hje,Bank of America Stadium,75523,Charlotte,North Carolina,United States Of America,US,28202,800 South Mint Street,35.225789,-80.852829,https://s1.ticketm.net/dbimages/22383v.jpg
KovZpa2M7e,United Center,23500,Chicago,Illinois,United States Of America,US,60612,1901 W Madison,41.88124412,-87.67427375,https://s1.ticketm.net/dbimages/22961v.jpg
KovZ917Ax7n,Allegiant Stadium,71835,Las Vegas,Nevada,United States Of America,US,89118,3333 Al Davis Way,36.0909,-115.1833,https://s1.ticketm.net/dbimages/23729v.jpg
KovZpakS7e,MetLife Stadium,82500,East Rutherford,New Jersey,United States Of America,US,07073,One MetLife Stadium Drive,40.81359,-74.074493,https://s1.ticketm.net/dbimages/22874v.jpg
KovZpa2Xke,State Farm Arena,21000,Atlanta,Georgia,United States Of America,US,30303,One State Farm Drive,33.757796,-84.394569,https://s1.ticketm.net/dbimages/22348v.jpg
KovZpZAJ67eA,American Airlines Center,21146,Dallas,Texas,United States Of America,US,75219,2500 Victory Avenue,32.79067196,-96.81081803,https://s1.ticketm.net/dbimages/22994v.jpg
KovZpZAFaeIA,State Farm Stadium,78600,Glendale,Arizona,United States Of America,US,85305,1 Cardinals Drive,33.527308,-112.262258,
KovZpZAJtFaA,Kaseya Center,20021,Miami,Florida,United States Of America,US,33132,601 Biscayne Blvd,25.781232,-80.187805,
KovZ917A25V,Little Caesars Arena,22000,Detroit,Michigan,United States Of America,US,48201,2645 Woodward,42.341089,-83.055434,https://s1.ticketm.net/dbimages/23263v.jpg
KovZpZA6taAA,Bridgestone Arena,20000,Nashville,Tennessee,United States Of America,US,37203,501 Broadway,36.159949,-86.77857,https://s1.ticketm.net/dbimages/14487v.jpg
KovZpZA6k7IA,Amalie Arena,21500,Tampa,Florida,United States Of America,US,33602,401 Channelside Dr,27.942743,-82.451772,https://s1.ticketm.net/dbimages/16606v.jpg
KovZpaKuJe,Capital One Arena,20356,Washington,District of Columbia,United States Of America,US,20004,601 F Street NW,38.897412,-77.020029,https://s1.ticketm.net/dbimages/23045v.jpg
KovZpZAEdFeA,NRG Stadium,80000,Houston,Texas,United States Of America,US,77054,One NRG Park,29.684885,-95.410875,https://s1.ticketm.net/dbimages/23377v.jpg
KovZpZAFaJeA,Ball Arena,21000,Denver,Colorado,United States Of America,US,80204,1000 Chopper Circle,39.74724,-105.010166,https://s1.ticketm.net/dbimages/22044v.jpg
KovZpZA6AEIA,Spectrum Center,20200,Charlotte,North Carolina,United States Of America,US,28202,333 East Trade Street,35.225222,-80.839921,https://s1.ticketm.net/dbimages/18670v.jpg
KovZpZAEvEEA,Kia Center,20000,Orlando,Florida,United States Of America,US,32801,400 W Church St.,28.539293,-81.383957,https://s1.ticketm.net/dbimages/22947v.jpg
KovZ917AiMF,Wells Fargo Center,21000,Philadelphia,Pennsylvania,United States Of America,US,19148,3601 South Broad St,39.904551,-75.1736273,
KovZpa3Wne,Empower Field At Mile High,85000,Denver,Colorado,United States Of America,US,80204,1701 Bryant St.,39.743853,-105.020127,https://s1.ticketm.net/dbimages/21318v.jpg
KovZpa2MCe,Allstate Arena,22000,Rosemont,Illinois,United States Of America,US,60018,6920 North Mannheim Road,42.00499247,-87.88750024,https://s1.ticketm.net/dbimages/21465v.jpg
KovZpa6MXe,Moda Center,21538,Portland,Oregon,United States Of America,US,97227,"One Center Court, Suite 100",45.53118896,-122.66645813,https://s1.ticketm.net/dbimages/23155v.jpg
KovZpa2yme,Lincoln Financial Field,67594,Philadelphia,Pennsylvania,United States Of America,US,19148,One Lincoln Financial Way,39.900706,-75.167406,https://s1.ticketm.net/dbimages/22350v.jpg
KovZ917ARXn,First Horizon Coliseum,22000,Greensboro,North Carolina,United States Of America,US,27403,1921 West Gate City Blvd,36.06003,-79.82579,https://s1.ticketm.net/dbimages/23524v.jpg
KovZpZA6AJdA,Xcel Energy Center,20554,Saint Paul,Minnesota,United States Of America,US,55102,199 Kellogg Blvd,44.94489438,-93.10121819,https://s1.ticketm.net/dbimages/23313v.jpg
KovZpZAJaFkA,Levi's® Stadium,68500,Santa Clara,California,United States Of America,US,95054,4900 Marie P. DeBartolo Way,37.40367671,-121.97034311,https://s1.ticketm.net/dbimages/15991v.jpg
KovZ917ACh0,SoFi Stadium,100240,Inglewood,California,United States Of America,US,90301,1001 S. Stadium Dr,33.950529,-118.343767,https://s1.ticketm.net/dbimages/23376v.jpg
KovZpZA6t77A,Yankee Stadium,54251,Bronx,New York,United States Of America,US,10451,1 East 161st Street,40.8285237,-73.9276264,https://s1.ticketm.net/dbimages/16603v.jpg
KovZpa2DJe,Enterprise Center,22000,Saint Louis,Missouri,United States Of America,US,63103,1401 Clark Ave,38.626432,-90.202617,https://s1.ticketm.net/dbimages/20586v.jpg
KovZpakX1e,Ford Field,78000,Detroit,Michigan,United States Of America,US,48226,2000 Brush St.,42.339924,-83.045543,https://s1.ticketm.net/dbimages/FordField_MI_65869_4Z.gif
KovZpZA1JJdA,Neyland Stadium,101915,Knoxville,Tennessee,United States Of America,US,37996,1235 Phillip Fulmer Way,35.9543865,-83.9259874,
KovZpa3awe,Lambeau Field,81441,Green Bay,Wisconsin,United States Of America,US,54304,1265 Lombardi Avenue,44.5012386,-88.0622376,https://s1.ticketm.net/dbimages/8467v.gif
KovZpZAEkvtA,Hard Rock Stadium,75000,Miami,Florida,United States Of America,US,33056,347 Don Shula Drive,25.957928,-80.238866,https://s1.ticketm.net/dbimages/20496v.jpg
KovZpZAdakJA,Lenovo Center,21000,Raleigh,North Carolina,United States Of America,US,27607,1400 Edwards Mill Road,35.803242,-78.722936,https://s1.ticketm.net/dbimages/23478v.jpg
KovZpZAdEJEA,Lucas Oil Stadium,70000,Indianapolis,Indiana,United States Of America,US,46225,500 S. Capitol Ave.,39.76007,-86.163821,https://s1.ticketm.net/dbimages/8617v.gif
KovZpZAF6tIA,Soldier Field,66944,Chicago,Illinois,United States Of America,US,60605,1410 S. Museum Campus Drive,41.86205404,-87.61682143,https://s1.ticketm.net/dbimages/7047v.jpg
KovZpZAaaI7A,Fenway Park,37755,Boston,Massachusetts,United States Of America,US,02215,4 Jersey Street,42.3464072,-71.0986584,
KovZpZAFa6nA,Acrisure Stadium,68400,Pittsburgh,Pennsylvania,United States Of America,US,15212,100 Art Rooney Avenue,40.446093,-80.015884,https://s1.ticketm.net/dbimages/22395v.jpg
KovZpZAF6ttA,U.S. Bank Stadium,73000,Minneapolis,Minnesota,United States Of America,US,55415,401 Chicago Avenue,44.973617,-93.257528,https://s1.ticketm.net/dbimages/23301v.jpg
KovZ917A3c0,BMO Stadium,22000,Los Angeles,California,United States Of America,US,90037,3939 S. Figueroa St,34.012879,-118.284926,https://s1.ticketm.net/dbimages/22510v.jpg
KovZpZAFnl1A,Raymond James Stadium,75000,Tampa,Florida,United States Of America,US,33607,4201 North Dale Mabry Highway,27.975976,-82.503474,https://s1.ticketm.net/dbimages/5858v.gif
KovZpZA6kelA,Nationwide Arena,20000,Columbus,Ohio,United States Of America,US,43215,200 West Nationwide Blvd.,39.96939661,-83.00636203,https://s1.ticketm.net/dbimages/23165v.jpg
KovZpZAEdJaA,Mercedes-Benz Stadium,75000,Atlanta,Georgia,United States Of America,US,30313,1 AMB Drive NW,33.755389,-84.400823,https://s1.ticketm.net/dbimages/21772v.jpg
KovZpZAdJ1vA,Highmark Stadium,62000,Orchard Park,New York,United States Of America,US,14127,1 Bills Drive,42.773743,-78.786955,https://s1.ticketm.net/dbimages/23101v.jpg
KovZpZAF7E1A,GEHA Field at Arrowhead Stadium,79451,Kansas City,Missouri,United States Of America,US,64129,1 Arrowhead Dr,39.04921048,-94.48417065,https://s1.ticketm.net/dbimages/22134v.png
KovZ917Ahxb,The Met Presented by Highmark,62000,Philadelphia,Pennsylvania,United States Of America,US,19130,858 N Broad St,39.969938,-75.160278,https://s1.ticketm.net/dbimages/22991v.jpg
KovZpZAEAAeA,Ohio Stadium,102780,Columbus,Ohio,United States Of America,US,43210,411 Woody Hayes Dr.,40.004003,-83.019363,https://s1.ticketm.net/dbimages/16470v.jpg
KovZpa2WZe,North Island Credit Union Amphitheatre,20500,Chula Vista,California,United States Of America,US,91911,2050 Entertainment Circle,32.58830386,-117.00640802,https://s1.ticketm.net/dbimages/22262v.jpg
KovZpZAFFE7A,WAMU Theater,72000,Seattle,Washington,United States Of America,US,98134,800 Occidental Ave S,47.596704,-122.332085,https://s1.ticketm.net/dbimages/19828v.jpg
KovZpZA6kvlA,Gillette Stadium,68756,Foxborough,Massachusetts,United States Of America,US,02035,1 Patriot Place,42.090918,-71.264321,https://s1.ticketm.net/dbimages/23010v.jpg
KovZpZAEdntA,Crypto.com Arena,21000,Los Angeles,California,United States Of America,US,90015,1111 S. Figueroa St,34.043003,-118.267253,https://s1.ticketm.net/dbimages/23241v.jpg
KovZpaFnje,KFC Yum! Center,22090,Louisville,Kentucky,United States Of America,US,40202,1 Arena Plaza,38.25713,-85.753958,https://s1.ticketm.net/dbimages/23122v.jpg
KovZ917A-X0,Globe Life Field,40300,Arlington,Texas,United States Of America,US,76011,734 Stadium Drive,32.747242,-97.083796,
KovZpZAEknnA,Lumen Field,72000,Seattle,Washington,United States Of America,US,98134,800 Occidental Ave S,47.595083,-122.331607,
KovZpa3zGe,Tacoma Dome,21000,Tacoma,Washington,United States Of America,US,98421,2727 East D St,47.23634,-122.426834,https://s1.ticketm.net/dbimages/23254v.jpg
KovZpZAEA66A,Rose Bowl,89702,Pasadena,California,United States Of America,US,91103,1001 Rose Bowl Drive,34.16146505,-118.16751312,
KovZpa4cFe,Petco Park,42691,San Diego,California,United States Of America,US,92101,100 Park Blvd,32.70709659,-117.15680771,
KovZpZAE6vJA,Talking Stick Resort Amphitheatre,20106,Phoenix,Arizona,United States Of America,US,85035,2121 N 83rd Ave,33.470823,-112.232875,https://s1.ticketm.net/dbimages/23258v.jpg
KovZpZAJEF1A,Circuit of The Americas,120000,Austin,Texas,United States Of America,US,78617,9201 Circuit of The Americas Blvd,30.13526827,-97.63566001,https://s1.ticketm.net/dbimages/23061v.jpg
KovZpZA1l1dA,Sun Bowl Stadium,52000,El Paso,Texas,United States Of America,US,79902,2501 Sun Bowl Drive,31.8082647,-106.5018386,https://s1.ticketm.net/dbimages/7535v.gif
KovZpZAFkelA,Paycor Stadium,65515,Cincinnati,Ohio,United States Of America,US,45202,One Paycor Stadium,39.0955556,-84.5161111,https://s1.ticketm.net/dbimages/22772v.jpg
KovZpZAFdEJA,Huntington Bank Field,67431,Cleveland,Ohio,United States Of America,US,44114,100 Alfred Lerner Way,41.50603554,-81.69956958,https://s1.ticketm.net/dbimages/23438v.jpg
KovZpZA7elEA,Stanford Stadium,90000,Stanford,California,United States Of America,US,94305,625 Nelson Rd.,37.4325584,-122.1606275,
KovZpakwYe,JMA Wireless Dome ,56250,Syracuse,New York,United States Of America,US,13244,900 Irving Avenue,43.03626312,-76.1361305,https://s1.ticketm.net/dbimages/18449v.jpg
KovZpZA6A1EA,Schottenstein Center,20000,Columbus,Ohio,United States Of America,US,43210,555 Borror Drive,40.0080079,-83.0249081,https://s1.ticketm.net/dbimages/23209v.jpg
KovZpZAEAAvA,Ohio Expo Center & State Fair,20000,Columbus,Ohio,United States Of America,US,43211,717 East 17th Avenue,40.004578,-82.990338,
KovZpZAIF7aA,Los Angeles Memorial Coliseum,93607,Los Angeles,California,United States Of America,US,90037,3911 S. Figueroa St,34.014053,-118.287865,https://s1.ticketm.net/dbimages/22702v.jpg
KovZ917AEuk,Miami International Autodrome,65000,Miami Gardens,Florida,United States Of America,US,33056,347 Don Shula Drive,25.957928,-80.238866,
KovZpZAFa6lA,Rupp Arena,23000,Lexington,Kentucky,United States Of America,US,40507,432 W Vine St,38.049148,-84.5010377,https://s1.ticketm.net/dbimages/22254v.jpg
KovZpZA6ta1A,Shoreline Amphitheatre,22500,Mountain View,California,United States Of America,US,94043,One Amphitheatre Parkway,37.426718,-122.080722,https://s1.ticketm.net/dbimages/21935v.jpg
KovZpZAEkIEA,Alamodome,77000,San Antonio,Texas,United States Of America,US,78203,100 Montana St,29.41705466,-98.4791514,https://s1.ticketm.net/dbimages/21814v.jpg
KovZpZA1eE1A,Food City Center,24535,Knoxville,Tennessee,United States Of America,US,37996,1600 Phillip Fulmer Way,35.9517627,-83.925366,https://s1.ticketm.net/dbimages/22943v.jpg
KovZ917AIoi,Snapdragon Stadium,55000,San Diego,California,United States Of America,US,92108,2101 Stadium Way,32.78451,-117.1212,https://s1.ticketm.net/dbimages/22413v.jpg
KovZpZAJFAkA,Camping World Stadium,65194,Orlando,Florida,United States Of America,US,32805,1 Citrus Bowl Place,28.538255,-81.402071,https://s1.ticketm.net/dbimages/23062v.jpg
KovZpZA1lleA,Utah First Credit Union Amphitheatre,25000,West Valley City,Utah,United States Of America,US,84118,5150 South 6055 West,40.65743789,-112.04072602,https://s1.ticketm.net/dbimages/22976v.jpg
KovZpZAE7evA,Target Center,20500,Minneapolis,Minnesota,United States Of America,US,55403,600 1st Avenue North,44.979657,-93.274889,https://s1.ticketm.net/dbimages/24439v.jpg
KovZpZA1FnJA,Memorial Stadium - Lincoln,87147,Lincoln,Nebraska,United States Of America,US,68588,One Memorial Stadium,40.820588,-96.7055596,
KovZpZA6tdtA,Chase Field,49033,Phoenix,Arizona,United States Of America,US,85004,401 E. Jefferson,33.444799,-112.066662,
KovZpZAEkJ7A,EverBank Stadium ,82000,Jacksonville,Florida,United States Of America,US,32202,1 EverBank Stadium Drive,30.323887,-81.637357,https://s1.ticketm.net/dbimages/23226v.jpg
KovZpa6Npe,Autzen Stadium,60000,Eugene,Oregon,United States Of America,US,97401,2700 MLK Jr. BLVD,44.055925,-123.0629993,https://s1.ticketm.net/dbimages/21181v.jpg
KovZpZAEAFeA,Dos Equis Pavilion,20000,Dallas,Texas,United States Of America,US,75210,3839 S Fitzhugh,32.77507215,-96.75646586,https://s1.ticketm.net/dbimages/22185v.jpg
KovZpZA7dkIA,Angel Stadium of Anaheim,69008,Anaheim,California,United States Of America,US,92806,2000 Gene Autry Way,33.800308,-117.88278,
KovZpZAFFelA,Chase Stadium,21550,Fort Lauderdale,Florida,United States Of America,US,33309,5201 NW 12th Avenue,26.1911447,-80.159484,
KovZpZA7AnJA,Nissan Stadium,69149,Nashville,Tennessee,United States Of America,US,37213,One Titans Way,36.166208,-86.771413,
KovZpZAJF7EA,Oracle Park,45000,San Francisco,California,United States Of America,US,94107,24 Willie Mays Plaza,37.77840589,-122.38944009,
KovZ917A8Q0,Audi Field,20000,Washington,District of Columbia,United States Of America,US,20024,100 Potomac Ave. SW,38.867998,-77.013642,https://s1.ticketm.net/dbimages/21883v.jpg
KovZpa2W1e,Dodger Stadium,56000,Los Angeles,California,United States Of America,US,90012,1000 Elysian Park Ave,34.07359365,-118.23992227,
KovZ917AxaG,Kidd Brewer Stadium,30000,Boone,North Carolina,United States Of America,US,28607,270  Stadium Drive,36.211692,-81.685399,
