,artistName,artistId,genres,follower,popularity,famille_musicale
0,RAF Camora,0Dvx6p8JDyzeOPGmaCIH1L,['german hip hop'],1806437.0,74.0,Hip-Hop
1,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,['soft pop'],119861182.0,89.0,Pop
2,Bonez MC,1aS5tqEs9ci5P9KD9tZWa6,['german hip hop'],2332739.0,77.0,Hip-Hop
3,Luciano,3CJKkU0XuElRT1z8rEtIYg,['german hip hop'],2401637.0,75.0,Hip-Hop
4,Capital Bra,4WZGDpNwrC0vNQyl9QzF7d,['german hip hop'],4312129.0,69.0,Hip-Hop
5,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,"['Pop', 'R&B']",81660274.0,91.0,Pop
6,Eminem,7dGJo4pcD2V6oG8kP0tJRR,"['rap', 'hip hop']",99272732.0,92.0,Hip-Hop
7,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,[],109873944.0,95.0,No Genre
8,Adele,4dpARuHxo51G3z768sgnrY,['soft pop'],63444995.0,87.0,Pop
9,Nimo,3ZuBEj9ppJe8GSdKaMTfMN,['german hip hop'],1621356.0,71.0,Hip-Hop
10,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,"['R&B', 'Pop']",102745252.0,97.0,Pop
11,CRO,3utZ2yeQk0Z3BCOBWP7Vlu,"['german hip hop', 'german pop']",2682301.0,72.0,Hip-Hop
12,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,"['edm', 'dance']",27008707.0,89.0,Electro
13,RIN,18ISxWwWjV6rPLoVCXf1dz,['german hip hop'],794910.0,65.0,Hip-Hop
14,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,"['melodic rap', 'emo rap']",39507380.0,89.0,Hip-Hop
15,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,[],12366416.0,75.0,No Genre
16,Drake,3TVXtAsR1Inumwj472S9r4,"['rap', 'hip hop']",97509366.0,98.0,Hip-Hop
17,Dardan,3pjq2pDV9RR6VY55wBjVnp,['german hip hop'],1277178.0,72.0,Hip-Hop
18,Taylor Swift,06HL4z0CvFAxyc27GXpf02,"['Pop', 'Country']",135193310.0,98.0,Pop
19,Ufo361,5pVRwX5ZQR7hfJ18w8ZYkl,"['german hip hop', 'turkish hip hop']",1987527.0,73.0,Hip-Hop
20,Samra,6h1s4i4XKIYv4ErDelLDN0,['german hip hop'],1348361.0,68.0,Hip-Hop
21,Sido,4Yttlv9ndGjCDCVLqM7ACq,"['german hip hop', 'german pop']",2549654.0,72.0,Hip-Hop
22,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,"['Alternative Rock', 'Pop Rock']",57622019.0,91.0,Rock
23,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,['pop'],45782757.0,89.0,Pop
24,XXXTENTACION,15UsOTVnJzReFVN1VCnxy4,['emo rap'],49648719.0,87.0,Hip-Hop
25,Lil Peep,2kCcBybjl3SAtIcwdWpUe3,"['emo rap', 'cloud rap']",14502850.0,84.0,Hip-Hop
26,Pashanim,34LetYSjEuG2fBb4Z8PwPg,['german hip hop'],1031553.0,75.0,Hip-Hop
