,artist,FR,GB,DE,IT,ES,BE
0,*NSYNC,127470.0,874503.0,983996.0,150257.0,151323.0,42430.0
1,"100 Blaze, Koba LaD",528424.0,0.0,0.0,0.0,0.0,12260.0
2,"100 Blaze, RK",46106.0,0.0,0.0,0.0,0.0,0.0
3,13 Block,952311.0,0.0,0.0,0.0,0.0,0.0
4,"13 Block, Maes",99153.0,0.0,0.0,0.0,0.0,0.0
5,"13 Block, Niska",115247.0,0.0,0.0,0.0,0.0,0.0
6,"13 Block, PLK",53973.0,0.0,0.0,0.0,0.0,0.0
7,"13 Block, SCH",57037.0,0.0,0.0,0.0,0.0,0.0
8,"13 Block, Zola",50925.0,0.0,0.0,0.0,0.0,0.0
9,"13 Organisé, Jul, So La Zone, TK, YL, Missan, Soso Maness, Kamikaz, Elams",68417.0,0.0,0.0,0.0,0.0,0.0
10,"13 Organisé, Kofs, Moh, 100 Blaze, Jul, Naps, Dadinho, A-Deal, Zak & Diego",68074.0,0.0,0.0,0.0,0.0,0.0
11,"13 Organisé, Kofs, Oussagaza, Don Choa, SAF, Soso Maness, 2Bang, Le Rat Luciano, Jul",38617.0,0.0,0.0,0.0,0.0,0.0
12,"13 Organisé, Manny, Jul, Solda, Moubarak, Soprano, Elams, Soso Maness, Veazy, Jhonson",41642.0,0.0,0.0,0.0,0.0,0.0
13,"13 Organisé, SCH, Akhenaton, Jul, L'Algérino, Alonzo, Shurik'n, Fahar, Le Rat Luciano",49048.0,0.0,0.0,0.0,0.0,0.0
14,"13 Organisé, SCH, Kofs, Jul, Naps, Soso Maness, Elams, Solda, Houari",4889745.0,0.0,0.0,0.0,0.0,332408.0
15,"13 Organisé, SCH, L'Algérino, Alonzo, Stone Black, Le Rat Luciano, Jul, As, Veazy",143391.0,0.0,0.0,0.0,0.0,0.0
16,"13 Organisé, THABITI, Naps, Alonzo, Houari, Jul, As, Zbig, AM La Scampia",38333.0,0.0,0.0,0.0,0.0,0.0
17,1PLIKÉ140,1794943.0,0.0,0.0,0.0,0.0,69050.0
18,1da Banton,441116.0,0.0,0.0,0.0,0.0,35412.0
19,21 Savage,155855.0,1718235.0,689198.0,266440.0,16604.0,108582.0
20,"21 Savage, Offset, Metro Boomin, Travis Scott",25577.0,80177.0,66175.0,20281.0,0.0,6344.0
21,"24kGoldn, iann dior",1394902.0,2748905.0,3420051.0,1155707.0,768619.0,513739.0
22,"4.4.2, Alonzo, Hamza",40812.0,0.0,0.0,0.0,0.0,0.0
23,"4.4.2, Soolking, Heuss L'enfoiré",158428.0,0.0,0.0,0.0,0.0,0.0
24,"4.4.2, Tayc, Soolking, Jul, Naza",52421.0,0.0,0.0,0.0,0.0,0.0
25,47ter,2401696.0,0.0,0.0,0.0,0.0,45209.0
26,4Keus,138916.0,0.0,0.0,0.0,0.0,0.0
27,4Keus Gang,219247.0,0.0,0.0,0.0,0.0,0.0
28,"4Keus Gang, Kaaris",50214.0,0.0,0.0,0.0,0.0,0.0
29,"4Keus Gang, Ninho",129375.0,0.0,0.0,0.0,0.0,0.0
30,"4Keus, Naza, KeBlack, Dry",176062.0,0.0,0.0,0.0,0.0,0.0
31,"4Keus, Siboy",242082.0,0.0,0.0,0.0,0.0,0.0
32,"4Keus, Sidiki Diabaté",24902.0,0.0,0.0,0.0,0.0,0.0
33,"4Keus, Tiakola, Niska",1183560.0,0.0,0.0,0.0,0.0,34416.0
34,5 Seconds of Summer,145834.0,2687793.0,863872.0,482620.0,90894.0,375863.0
35,6ix9ine,210527.0,317645.0,622852.0,422410.0,36990.0,95703.0
36,"6ix9ine, A Boogie Wit da Hoodie",46929.0,122961.0,99438.0,40557.0,0.0,9239.0
37,"6ix9ine, Anuel AA",180335.0,120286.0,355837.0,1082590.0,2303885.0,26426.0
38,"6ix9ine, Bobby Shmurda",43036.0,68010.0,106688.0,41339.0,0.0,12468.0
39,"6ix9ine, DJ SpinKing",27478.0,62999.0,61517.0,0.0,0.0,11978.0
40,"6ix9ine, Kanye West",35213.0,82465.0,75620.0,0.0,0.0,5460.0
41,"6ix9ine, Kanye West, Nicki Minaj",70416.0,166783.0,171893.0,85404.0,27050.0,15507.0
42,"6ix9ine, Lil Baby",95646.0,165707.0,246003.0,78802.0,33437.0,22502.0
43,"6ix9ine, Nicki Minaj",44369.0,68377.0,131224.0,0.0,0.0,10137.0
44,"6ix9ine, Nicki Minaj, Murda Beatz",403131.0,687462.0,696656.0,452546.0,89497.0,80553.0
45,"6ix9ine, Tory Lanez",119113.0,577961.0,435049.0,80920.0,30842.0,31063.0
46,"7 Jaws, Vald",46601.0,0.0,0.0,0.0,0.0,0.0
47,"91 All Stars, Ninho",220784.0,0.0,0.0,0.0,0.0,0.0
48,"91 All Stars, S-Pion, Wejdene",50034.0,0.0,0.0,0.0,0.0,0.0
49,A Boogie Wit da Hoodie,239089.0,380972.0,699999.0,0.0,0.0,50776.0
50,A R I Z O N A,154639.0,0.0,110169.0,20795.0,20862.0,21211.0
51,"A$AP Rocky, Skepta",318183.0,1340282.0,551444.0,0.0,0.0,141044.0
52,A2h,481260.0,0.0,0.0,0.0,0.0,0.0
53,A2sia,59399.0,0.0,0.0,0.0,0.0,0.0
54,ABBA,143574.0,1048755.0,655302.0,0.0,0.0,382861.0
55,AC/DC,63826.0,329176.0,81883.0,0.0,0.0,49910.0
56,"ACRAZE, Cherish",476410.0,822748.0,2127985.0,641001.0,357010.0,344602.0
57,AJR,76057.0,427317.0,941011.0,91855.0,48503.0,128885.0
58,AM,55974.0,0.0,0.0,0.0,0.0,0.0
59,"AM La Scampia, Lacrim",106359.0,0.0,0.0,0.0,0.0,0.0
60,AMK,927933.0,0.0,0.0,0.0,0.0,30891.0
61,"AMK, Nouvelle École",349990.0,0.0,0.0,0.0,0.0,13345.0
62,"ANNA, Jul",52826.0,0.0,0.0,0.0,0.0,0.0
63,"ASHE 22, Gazo",41414.0,0.0,0.0,0.0,0.0,0.0
64,"ASHE 22, Hamza",46295.0,0.0,0.0,0.0,0.0,0.0
65,"ASHE 22, Maes",79352.0,0.0,0.0,0.0,0.0,0.0
66,"ATB, Topic, A7S",499907.0,1189094.0,2123180.0,1127355.0,183004.0,179855.0
67,ATLXS,81421.0,0.0,121803.0,0.0,0.0,14109.0
68,AURORA,70154.0,353880.0,226567.0,76040.0,55753.0,63329.0
69,Aaron Carter,73798.0,0.0,0.0,72098.0,19081.0,14384.0
70,"Abou Debeing, Dadju",191182.0,0.0,0.0,0.0,0.0,0.0
71,"Adam Port, Stryv, Keinemusik, Orso, Malachiii",873017.0,1086632.0,1684136.0,998095.0,236267.0,386378.0
72,Adele,1228215.0,12426452.0,2154127.0,711096.0,650274.0,1877999.0
73,Aden Foyer,804295.0,0.0,0.0,0.0,0.0,0.0
74,"Adèle Castillon, Gazo",163144.0,0.0,0.0,0.0,0.0,0.0
75,Adé,371778.0,0.0,0.0,0.0,0.0,0.0
76,Aime Simone,785755.0,0.0,0.0,0.0,0.0,0.0
