,artist,streams,pays
0,Lukas Graham,14378,FR
1,Saian Supa Crew,14393,FR
2,"Major Lazer, Showtek",14400,FR
3,Magic System,14460,FR
4,"Lil Wayne, Wiz Khalifa, Imagine Dragons, X Ambassadors, Logic, Ty Dolla $ign",14748,FR
5,MisterWives,14979,FR
6,"Imany, Filatov & Karas",15033,FR
7,"Shakira, Freshlyground",15384,FR
8,"Joyce Jonathan, Vianney",15778,FR
9,"Synapson, Victor Démé",15793,FR
10,"Zay Hilfigerrr, Zayion McCall",15809,FR
11,"G-Eazy, Bebe Rexha",15972,FR
12,"Kalash, Still Fresh",15993,FR
13,"Léa Castel, Slimane",16032,FR
14,"Hayce Lemsi, Volts Face",16272,FR
15,"Kendrick Lamar, Zacari",16392,FR
16,"Wisin, Ozuna",16538,FR
17,Saint Motel,16571,FR
18,"Hayce Lemsi, Volts Face, Hooss",16695,FR
19,"ZAYN, PARTYNEXTDOOR",17104,FR
20,Lou Bega,17143,FR
21,"DRAM, Lil Yachty",17177,FR
22,Ryan Gosling,17665,FR
23,London Grammar,18005,FR
24,"David Guetta, Fetty Wap, Sia",18526,FR
25,"Rihanna, Drake",18587,FR
26,"Columbine, Foda C, Lujipeka",18650,FR
27,"Alonzo, Soprano",19021,FR
28,Julian Perretta,19052,FR
29,Justin Hurwitz,19114,FR
30,"Aya Nakamura, Dadju",19341,FR
31,"Fakear, Rae Morris",19413,FR
32,"Naps, 13ème Art",19464,FR
33,"David Guetta, Cedric Gervais, Chris Willis",19613,FR
34,"Feder, Emmi",19789,FR
35,"Sofiane, Hornet La Frappe, GLK, YL",20251,FR
36,Dagny,20292,FR
37,"Sofiane, Graya, Ninho, GLK, Riane, The S",21115,FR
38,Hearts & Colors,21196,FR
39,DNCE,21216,FR
40,"Bigflo & Oli, JoeyStarr",21261,FR
41,"Hearts & Colors, Andrelli",21283,FR
42,"Alonzo, Lartiste",21378,FR
43,"Petit Biscuit, Panama",21656,FR
44,"Kendrick Lamar, Rihanna",21778,FR
45,"Sofiane, Boozoo",22002,FR
46,"will.i.am, Britney Spears",22096,FR
47,"Petit Biscuit, Lido",22302,FR
48,"Robin Thicke, T.I., Pharrell Williams",22454,FR
49,"Sofiane, YL, Timal",22610,FR
50,Galantis,22735,FR
51,"Post Malone, Nicki Minaj",23163,FR
52,"Mister V, Tortoz",23168,FR
53,"Siboy, Booba",23214,FR
54,Angus & Julia Stone,23247,FR
55,"GIMS, Lil Wayne, French Montana",23362,FR
56,"Sofiane, MHD",23675,FR
57,"Petit Biscuit, Møme, Isaac Delusion",24046,FR
58,"Roméo Elvis, Le Motel, Angèle",24169,FR
59,"Roméo Elvis, Le Motel",24186,FR
60,"Keala Settle, The Greatest Showman Ensemble",24293,FR
61,Edward Sharpe & The Magnetic Zeros,24463,FR
62,"Migos, Post Malone",24531,FR
63,"4Keus, Sidiki Diabaté",24902,FR
64,"L'Algérino, Soprano, Naps, Alonzo",24956,FR
65,The Verve,25009,FR
66,"Zac Efron, Zendaya",25073,FR
67,"YL, Jul",25099,FR
68,"Lil Dicky, Chris Brown",25464,FR
69,"21 Savage, Offset, Metro Boomin, Travis Scott",25577,FR
70,"Julia Michaels, Trippie Redd",25966,FR
71,"Jen Jis, Feder, Bright Sparks",25993,FR
72,"Fifth Harmony, Gucci Mane",26120,FR
